Company Name,IDBB,CRI Company ID,Exchange Country,Domicile Country,Bloomberg Industry Code,Bloomberg Industry,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Copa Holdings SA,10143332,28176,United States of America,Panama,10004,Consumer Cyclical,3.557881128,4.534461753,5.555793837,7.310201188,10.68115433,15.92837441,23.84905755,23.21066837,20.0048696,16.49079533,14.72240628,13.6290074,12.28636294
Popular Inc,102556,28921,United States of America,Puerto Rico,10008,Financial,0.96125198,0.948929794,1.002950607,1.00974386,1.4531771,2.305324738,3.696558559,3.815230205,3.536993231,3.319080473,3.067258198,2.828612628,2.636021017
First BanCorp/Puerto Rico,103846,29722,United States of America,Puerto Rico,10008,Financial,0.857775246,0.775755303,0.711242745,0.67421889,0.939326099,1.406606735,2.121567619,2.112326149,1.889490074,1.713450399,1.604618723,1.502517406,1.399338528
OFG Bancorp,105853,31057,United States of America,Puerto Rico,10008,Financial,1.882995026,1.832559092,1.89107738,1.920135059,2.820873608,4.532017596,7.392250098,7.597297107,7.156357119,6.600580421,6.321190386,5.966255643,5.732742254
Cosan Ltd,12183425,34469,United States of America,Brazil,10005,Consumer Non-Cyclical,6.063884955,5.584863522,4.726593983,4.684474555,4.51022485,4.84673212,5.634178483,6.328949371,6.443013992,6.274052022,6.032113311,5.933232172,5.664139326
MercadoLibre Inc,1419776,36262,United States of America,Argentina,10003,Communications,16.53992506,22.42916044,29.38520025,37.48823456,53.81223764,76.27919129,108.0844907,106.1347607,91.27739337,77.23143501,68.68778783,61.88287992,59.64437764
Southern Copper Corp,154302,37348,United States of America,Peru,10002,Basic Materials,0.36526315,0.418503226,0.471824996,0.510837481,0.694104669,1.039555207,1.608293426,1.679261116,1.599670318,1.419190574,1.26119513,1.142248853,1.039149481
Credicorp Ltd,171258,38922,United States of America,Peru,10008,Financial,0.300116731,0.257189016,0.23837704,0.227907101,0.30864236,0.450202106,0.697337258,0.696296303,0.623889534,0.576823787,0.552027594,0.526500999,0.497164244
Triple-S Management Corp,7861727,45685,United States of America,Puerto Rico,10005,Consumer Non-Cyclical,52.31054657,64.87109845,67.20018277,67.04288904,67.98003429,78.66320055,90.54377609,98.05375422,104.8318102,105.0093037,103.7593023,101.8917298,100.3077607
Geopark Ltd,10756764,59327,United States of America,Chile,10007,Energy,1.316468976,0.707589952,0.403920277,0.219677261,0.184054472,0.163638864,0.134908569,0.05745259,0.02122561,0.007290694,0.002519838,0.0008795,0.000269239
Adecoagro SA,23759855,92526,United States of America,Argentina,10005,Consumer Non-Cyclical,12.09936696,10.68241457,17.65262287,29.35972781,53.7316987,84.51731764,122.8319085,138.6429521,133.6071496,110.0064059,91.25740327,83.27619927,76.32948843
